Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes
1	0	0	dev=net(0)	InInterests	51	1.55664
1	0	0	dev=net(0)	OutInterests	14	0.436523
1	0	0	dev=net(0)	DropInterests	22	0.685547
1	0	0	dev=net(0)	InNacks	0	0
1	0	0	dev=net(0)	OutNacks	0	0
1	0	0	dev=net(0)	DropNacks	0	0
1	0	0	dev=net(0)	InData	1	1.03711
1	0	0	dev=net(0)	OutData	15	15.5225
1	0	0	dev=net(0)	DropData	0	0
1	0	1	dev=local(1)	InInterests	0	0
1	0	1	dev=local(1)	OutInterests	15	0.43457
1	0	1	dev=local(1)	DropInterests	0	0
1	0	1	dev=local(1)	InNacks	0	0
1	0	1	dev=local(1)	OutNacks	0	0
1	0	1	dev=local(1)	DropNacks	0	0
1	0	1	dev=local(1)	InData	15	0
1	0	1	dev=local(1)	OutData	0	0
1	0	1	dev=local(1)	DropData	0	0
1	0	-1	all	SatisfiedInterests	16	0
1	0	-1	all	TimedOutInterests	0	0
1	1	0	dev=net(0)	InInterests	59	1.80664
1	1	0	dev=net(0)	OutInterests	3	0.0869141
1	1	0	dev=net(0)	DropInterests	9	0.260742
1	1	0	dev=net(0)	InNacks	0	0
1	1	0	dev=net(0)	OutNacks	0	0
1	1	0	dev=net(0)	DropNacks	0	0
1	1	0	dev=net(0)	InData	0	0
1	1	0	dev=net(0)	OutData	46	47.7002
1	1	0	dev=net(0)	DropData	0	0
1	1	1	dev=local(1)	InInterests	0	0
1	1	1	dev=local(1)	OutInterests	46	1.43066
1	1	1	dev=local(1)	DropInterests	0	0
1	1	1	dev=local(1)	InNacks	0	0
1	1	1	dev=local(1)	OutNacks	0	0
1	1	1	dev=local(1)	DropNacks	0	0
1	1	1	dev=local(1)	InData	46	0
1	1	1	dev=local(1)	OutData	0	0
1	1	1	dev=local(1)	DropData	0	0
1	1	-1	all	SatisfiedInterests	46	0
1	1	-1	all	TimedOutInterests	0	0
1	2	0	dev=net(0)	InInterests	71	2.18457
1	2	0	dev=net(0)	OutInterests	28	0.853516
1	2	0	dev=net(0)	DropInterests	49	1.50391
1	2	0	dev=net(0)	InNacks	0	0
1	2	0	dev=net(0)	OutNacks	0	0
1	2	0	dev=net(0)	DropNacks	0	0
1	2	0	dev=net(0)	InData	0	0
1	2	0	dev=net(0)	OutData	0	0
1	2	0	dev=net(0)	DropData	0	0
1	2	1	dev=local(1)	InInterests	10	0
1	2	1	dev=local(1)	OutInterests	0	0
1	2	1	dev=local(1)	DropInterests	0	0
1	2	1	dev=local(1)	InNacks	0	0
1	2	1	dev=local(1)	OutNacks	0	0
1	2	1	dev=local(1)	DropNacks	0	0
1	2	1	dev=local(1)	InData	0	0
1	2	1	dev=local(1)	OutData	0	0
1	2	1	dev=local(1)	DropData	0	0
1	3	0	dev=net(0)	InInterests	56	1.70801
1	3	0	dev=net(0)	OutInterests	27	0.81543
1	3	0	dev=net(0)	DropInterests	37	1.12695
1	3	0	dev=net(0)	InNacks	0	0
1	3	0	dev=net(0)	OutNacks	0	0
1	3	0	dev=net(0)	DropNacks	0	0
1	3	0	dev=net(0)	InData	5	5.17285
1	3	0	dev=net(0)	OutData	0	0
1	3	0	dev=net(0)	DropData	1	1.03418
1	3	1	dev=local(1)	InInterests	10	0
1	3	1	dev=local(1)	OutInterests	0	0
1	3	1	dev=local(1)	DropInterests	1	0
1	3	1	dev=local(1)	InNacks	0	0
1	3	1	dev=local(1)	OutNacks	0	0
1	3	1	dev=local(1)	DropNacks	0	0
1	3	1	dev=local(1)	InData	0	0
1	3	1	dev=local(1)	OutData	2	2.06934
1	3	1	dev=local(1)	DropData	0	0
1	3	-1	all	SatisfiedInterests	4	0
1	3	-1	all	TimedOutInterests	0	0
1	4	0	dev=net(0)	InInterests	60	1.85547
1	4	0	dev=net(0)	OutInterests	25	0.771484
1	4	0	dev=net(0)	DropInterests	35	1.08398
1	4	0	dev=net(0)	InNacks	0	0
1	4	0	dev=net(0)	OutNacks	0	0
1	4	0	dev=net(0)	DropNacks	0	0
1	4	0	dev=net(0)	InData	0	0
1	4	0	dev=net(0)	OutData	0	0
1	4	0	dev=net(0)	DropData	0	0
1	5	0	dev=net(0)	InInterests	70	2.13281
1	5	0	dev=net(0)	OutInterests	28	0.866211
1	5	0	dev=net(0)	DropInterests	52	1.58203
1	5	0	dev=net(0)	InNacks	0	0
1	5	0	dev=net(0)	OutNacks	0	0
1	5	0	dev=net(0)	DropNacks	0	0
1	5	0	dev=net(0)	InData	9	9.3291
1	5	0	dev=net(0)	OutData	0	0
1	5	0	dev=net(0)	DropData	4	4.14551
1	5	1	dev=local(1)	InInterests	20	0
1	5	1	dev=local(1)	OutInterests	0	0
