Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.00474846	9	1	0	LastDelay	0.00474846	4748.46	1	5
0.00474846	9	1	0	FullDelay	0.00474846	4748.46	1	5
0.00474866	3	1	0	LastDelay	0.00474866	4748.66	1	5
0.00474866	3	1	0	FullDelay	0.00474866	4748.66	1	5
0.00682782	10	1	0	LastDelay	0.00682782	6827.82	1	4
0.00682782	10	1	0	FullDelay	0.00682782	6827.82	1	4
0.00725013	5	1	0	LastDelay	0.00725013	7250.13	1	7
0.00725013	5	1	0	FullDelay	0.00725013	7250.13	1	7
0.0086267	12	1	0	LastDelay	0.0086267	8626.69	1	5
0.0086267	12	1	0	FullDelay	0.0086267	8626.69	1	5
0.105024	10	1	2	LastDelay	0.00502409	5024.09	1	4
0.105024	10	1	2	FullDelay	0.00502409	5024.09	1	4
0.105024	5	1	2	LastDelay	0.0050244	5024.4	1	4
0.105024	5	1	2	FullDelay	0.0050244	5024.4	1	4
0.452783	10	1	8	LastDelay	0.0027831	2783.1	1	5
0.452783	10	1	8	FullDelay	0.0027831	2783.1	1	5
0.452783	5	1	8	LastDelay	0.00278342	2783.42	1	5
0.452783	5	1	8	FullDelay	0.00278342	2783.42	1	5
0.900468	3	1	7	LastDelay	0.000467537	467.537	1	2
0.900468	3	1	7	FullDelay	0.000467537	467.537	1	2
1.40135	10	1	23	LastDelay	0.00135084	1350.84	1	5
1.40135	10	1	23	FullDelay	0.00135084	1350.84	1	5
1.45071	10	1	1	LastDelay	0.000705018	705.018	1	5
1.45071	10	1	1	FullDelay	1.40071	1.40071e+06	4	5
1.45071	5	1	1	LastDelay	0.950705	950705	1	5
1.45071	5	1	1	FullDelay	1.40071	1.40071e+06	3	5
1.70316	10	1	7	LastDelay	0.00316388	3163.88	1	13
1.70316	10	1	7	FullDelay	1.30316	1.30316e+06	2	13
1.7042	5	1	7	LastDelay	1.3042	1.3042e+06	1	13
1.7042	5	1	7	FullDelay	1.3042	1.3042e+06	1	13
1.90326	10	1	12	LastDelay	0.00325927	3259.27	1	5
1.90326	10	1	12	FullDelay	1.05326	1.05326e+06	2	5
2.20239	10	1	18	LastDelay	0.00238539	2385.39	1	10
2.20239	10	1	18	FullDelay	1.05239	1.05239e+06	2	10
2.20239	5	1	18	LastDelay	1.05239	1.05239e+06	1	10
2.20239	5	1	18	FullDelay	1.05239	1.05239e+06	1	10
2.35593	5	1	41	LastDelay	0.00592948	5929.48	1	9
2.35593	5	1	41	FullDelay	0.00592948	5929.48	1	9
3.05363	5	1	54	LastDelay	0.0036326	3632.6	1	9
3.05363	5	1	54	FullDelay	0.0036326	3632.6	1	9
3.10403	10	1	39	LastDelay	0.00402683	4026.83	1	6
3.10403	10	1	39	FullDelay	0.00402683	4026.83	1	6
3.10403	5	1	39	LastDelay	0.854027	854027	1	6
3.10403	5	1	39	FullDelay	0.854027	854027	1	6
3.10933	15	1	39	LastDelay	1.10933	1.10933e+06	1	20
3.10933	15	1	39	FullDelay	1.10933	1.10933e+06	1	20
3.15169	10	1	3	LastDelay	0.00169331	1693.31	1	5
3.15169	10	1	3	FullDelay	3.00169	3.00169e+06	4	5
3.15326	5	1	3	LastDelay	0.65326	653260	1	12
