Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.00362519	9	1	0	LastDelay	0.00362519	3625.19	1	7
0.00362519	9	1	0	FullDelay	0.00362519	3625.19	1	7
0.00439674	3	1	0	LastDelay	0.00439674	4396.74	1	4
0.00439674	3	1	0	FullDelay	0.00439674	4396.74	1	4
0.00439677	12	1	0	LastDelay	0.00439677	4396.77	1	4
0.00439677	12	1	0	FullDelay	0.00439677	4396.77	1	4
0.500545	3	1	4	LastDelay	0.000545495	545.495	1	3
0.500545	3	1	4	FullDelay	0.000545495	545.495	1	3
0.501814	9	1	4	LastDelay	0.00181439	1814.39	1	4
0.501814	9	1	4	FullDelay	0.00181439	1814.39	1	4
0.503113	12	1	4	LastDelay	0.00311267	3112.67	1	9
0.503113	12	1	4	FullDelay	0.00311267	3112.67	1	9
1.50307	9	1	11	LastDelay	0.00306593	3065.93	1	5
1.50307	9	1	11	FullDelay	0.00306593	3065.93	1	5
1.50307	12	1	11	LastDelay	0.00306616	3066.16	1	5
1.50307	12	1	11	FullDelay	0.00306616	3066.16	1	5
2.60178	12	1	14	LastDelay	0.00177932	1779.32	1	3
2.60178	12	1	14	FullDelay	0.00177932	1779.32	1	3
2.60221	9	1	14	LastDelay	0.0022101	2210.1	1	3
2.60221	9	1	14	FullDelay	0.0022101	2210.1	1	3
3.50512	9	1	10	LastDelay	0.0051222	5122.2	1	10
3.50512	9	1	10	FullDelay	2.10512	2.10512e+06	2	10
3.70047	9	1	15	LastDelay	0.00046737	467.37	1	2
3.70047	9	1	15	FullDelay	0.00046737	467.37	1	2
4.30258	3	1	37	LastDelay	0.00258166	2581.66	1	10
4.30258	3	1	37	FullDelay	0.00258166	2581.66	1	10
5.50047	9	1	24	LastDelay	0.00046737	467.37	1	2
5.50047	9	1	24	FullDelay	0.00046737	467.37	1	2
5.60229	3	1	1	LastDelay	1.20229	1.20229e+06	1	6
5.60229	3	1	1	FullDelay	5.50229	5.50229e+06	4	6
5.60294	9	1	1	LastDelay	0.00294396	2943.96	1	7
5.60294	9	1	1	FullDelay	5.50294	5.50294e+06	7	7
8.20307	9	1	34	LastDelay	0.00306814	3068.14	1	3
8.20307	9	1	34	FullDelay	0.00306814	3068.14	1	3
8.20399	3	1	34	LastDelay	0.603987	603987	1	5
