Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes
1	0	0	dev=net(0)	InInterests	12	0.34668
1	0	0	dev=net(0)	OutInterests	0	0
1	0	0	dev=net(0)	DropInterests	0	0
1	0	0	dev=net(0)	InNacks	0	0
1	0	0	dev=net(0)	OutNacks	0	0
1	0	0	dev=net(0)	DropNacks	0	0
1	0	0	dev=net(0)	InData	0	0
1	0	0	dev=net(0)	OutData	12	12.417
1	0	0	dev=net(0)	DropData	0	0
1	0	1	dev=local(1)	InInterests	0	0
1	0	1	dev=local(1)	OutInterests	12	0.34668
1	0	1	dev=local(1)	DropInterests	0	0
1	0	1	dev=local(1)	InNacks	0	0
1	0	1	dev=local(1)	OutNacks	0	0
1	0	1	dev=local(1)	DropNacks	0	0
1	0	1	dev=local(1)	InData	12	0
1	0	1	dev=local(1)	OutData	0	0
1	0	1	dev=local(1)	DropData	0	0
1	0	-1	all	SatisfiedInterests	12	0
1	0	-1	all	TimedOutInterests	0	0
1	1	0	dev=net(0)	InInterests	7	0.200195
1	1	0	dev=net(0)	OutInterests	2	0.0576172
1	1	0	dev=net(0)	DropInterests	5	0.142578
1	1	0	dev=net(0)	InNacks	0	0
1	1	0	dev=net(0)	OutNacks	0	0
1	1	0	dev=net(0)	DropNacks	0	0
1	1	0	dev=net(0)	InData	0	0
1	1	0	dev=net(0)	OutData	0	0
1	1	0	dev=net(0)	DropData	0	0
1	2	0	dev=net(0)	InInterests	22	0.636719
1	2	0	dev=net(0)	OutInterests	10	0.291992
1	2	0	dev=net(0)	DropInterests	20	0.579102
1	2	0	dev=net(0)	InNacks	0	0
1	2	0	dev=net(0)	OutNacks	0	0
1	2	0	dev=net(0)	DropNacks	0	0
1	2	0	dev=net(0)	InData	0	0
1	2	0	dev=net(0)	OutData	0	0
1	2	0	dev=net(0)	DropData	0	0
1	2	1	dev=local(1)	InInterests	10	0
1	2	1	dev=local(1)	OutInterests	0	0
1	2	1	dev=local(1)	DropInterests	0	0
1	2	1	dev=local(1)	InNacks	0	0
1	2	1	dev=local(1)	OutNacks	0	0
1	2	1	dev=local(1)	DropNacks	0	0
1	2	1	dev=local(1)	InData	0	0
1	2	1	dev=local(1)	OutData	0	0
1	2	1	dev=local(1)	DropData	0	0
1	3	0	dev=net(0)	InInterests	12	0.347656
1	3	0	dev=net(0)	OutInterests	11	0.321289
1	3	0	dev=net(0)	DropInterests	8	0.231445
1	3	0	dev=net(0)	InNacks	0	0
1	3	0	dev=net(0)	OutNacks	0	0
1	3	0	dev=net(0)	DropNacks	0	0
1	3	0	dev=net(0)	InData	3	3.10352
1	3	0	dev=net(0)	OutData	0	0
1	3	0	dev=net(0)	DropData	0	0
1	3	1	dev=local(1)	InInterests	10	0
1	3	1	dev=local(1)	OutInterests	0	0
1	3	1	dev=local(1)	DropInterests	0	0
1	3	1	dev=local(1)	InNacks	0	0
1	3	1	dev=local(1)	OutNacks	0	0
1	3	1	dev=local(1)	DropNacks	0	0
1	3	1	dev=local(1)	InData	0	0
1	3	1	dev=local(1)	OutData	2	2.06934
1	3	1	dev=local(1)	DropData	0	0
1	3	-1	all	SatisfiedInterests	2	0
