Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes
1	0	0	dev=net(0)	InInterests	35	1.06934
1	0	0	dev=net(0)	OutInterests	14	0.436523
1	0	0	dev=net(0)	DropInterests	12	0.375
1	0	0	dev=net(0)	InNacks	0	0
1	0	0	dev=net(0)	OutNacks	0	0
1	0	0	dev=net(0)	DropNacks	0	0
1	0	0	dev=net(0)	InData	5	5.18359
1	0	0	dev=net(0)	OutData	9	9.31055
1	0	0	dev=net(0)	DropData	0	0
1	0	1	dev=local(1)	InInterests	0	0
1	0	1	dev=local(1)	OutInterests	3	0.0869141
1	0	1	dev=local(1)	DropInterests	0	0
1	0	1	dev=local(1)	InNacks	0	0
1	0	1	dev=local(1)	OutNacks	0	0
1	0	1	dev=local(1)	DropNacks	0	0
1	0	1	dev=local(1)	InData	3	0
1	0	1	dev=local(1)	OutData	0	0
1	0	1	dev=local(1)	DropData	0	0
1	0	-1	all	SatisfiedInterests	12	0
1	0	-1	all	TimedOutInterests	0	0
1	1	0	dev=net(0)	InInterests	48	1.47168
1	1	0	dev=net(0)	OutInterests	2	0.0576172
1	1	0	dev=net(0)	DropInterests	6	0.170898
1	1	0	dev=net(0)	InNacks	0	0
1	1	0	dev=net(0)	OutNacks	0	0
1	1	0	dev=net(0)	DropNacks	0	0
1	1	0	dev=net(0)	InData	16	16.5879
1	1	0	dev=net(0)	OutData	39	40.4434
1	1	0	dev=net(0)	DropData	0	0
1	1	1	dev=local(1)	InInterests	0	0
1	1	1	dev=local(1)	OutInterests	12	0.374023
1	1	1	dev=local(1)	DropInterests	0	0
1	1	1	dev=local(1)	InNacks	0	0
1	1	1	dev=local(1)	OutNacks	0	0
1	1	1	dev=local(1)	DropNacks	0	0
1	1	1	dev=local(1)	InData	12	0
1	1	1	dev=local(1)	OutData	0	0
1	1	1	dev=local(1)	DropData	0	0
1	1	-1	all	SatisfiedInterests	39	0
1	1	-1	all	TimedOutInterests	0	0
1	2	0	dev=net(0)	InInterests	56	1.72266
1	2	0	dev=net(0)	OutInterests	27	0.822266
1	2	0	dev=net(0)	DropInterests	39	1.19238
1	2	0	dev=net(0)	InNacks	0	0
1	2	0	dev=net(0)	OutNacks	0	0
1	2	0	dev=net(0)	DropNacks	0	0
1	2	0	dev=net(0)	InData	0	0
1	2	0	dev=net(0)	OutData	0	0
1	2	0	dev=net(0)	DropData	0	0
1	2	1	dev=local(1)	InInterests	10	0
1	2	1	dev=local(1)	OutInterests	0	0
1	2	1	dev=local(1)	DropInterests	0	0
1	2	1	dev=local(1)	InNacks	0	0
1	2	1	dev=local(1)	OutNacks	0	0
1	2	1	dev=local(1)	DropNacks	0	0
1	2	1	dev=local(1)	InData	0	0
1	2	1	dev=local(1)	OutData	0	0
1	2	1	dev=local(1)	DropData	0	0
1	3	0	dev=net(0)	InInterests	32	0.976562
1	3	0	dev=net(0)	OutInterests	23	0.697266
1	3	0	dev=net(0)	DropInterests	15	0.453125
1	3	0	dev=net(0)	InNacks	0	0
1	3	0	dev=net(0)	OutNacks	0	0
1	3	0	dev=net(0)	DropNacks	0	0
1	3	0	dev=net(0)	InData	9	9.32031
1	3	0	dev=net(0)	OutData	2	2.07227
1	3	0	dev=net(0)	DropData	0	0
1	3	1	dev=local(1)	InInterests	10	0
1	3	1	dev=local(1)	OutInterests	0	0
1	3	1	dev=local(1)	DropInterests	0	0
1	3	1	dev=local(1)	InNacks	0	0
1	3	1	dev=local(1)	OutNacks	0	0
1	3	1	dev=local(1)	DropNacks	0	0
1	3	1	dev=local(1)	InData	0	0
1	3	1	dev=local(1)	OutData	2	1.03418
1	3	1	dev=local(1)	DropData	0	0
1	3	-1	all	SatisfiedInterests	8	0
1	3	-1	all	TimedOutInterests	0	0
1	4	0	dev=net(0)	InInterests	56	1.7334
1	4	0	dev=net(0)	OutInterests	20	0.619141
1	4	0	dev=net(0)	DropInterests	35	1.08594
1	4	0	dev=net(0)	InNacks	0	0
1	4	0	dev=net(0)	OutNacks	0	0
1	4	0	dev=net(0)	DropNacks	0	0
1	4	0	dev=net(0)	InData	0	0
1	4	0	dev=net(0)	OutData	0	0
1	4	0	dev=net(0)	DropData	0	0
1	5	0	dev=net(0)	InInterests	43	1.31152
1	5	0	dev=net(0)	OutInterests	24	0.744141
1	5	0	dev=net(0)	DropInterests	23	0.695312
1	5	0	dev=net(0)	InNacks	0	0
1	5	0	dev=net(0)	OutNacks	0	0
1	5	0	dev=net(0)	DropNacks	0	0
1	5	0	dev=net(0)	InData	13	13.4814
1	5	0	dev=net(0)	OutData	2	2.07422
1	5	0	dev=net(0)	DropData	0	0
1	5	1	dev=local(1)	InInterests	20	0
1	5	1	dev=local(1)	OutInterests	0	0
1	5	1	dev=local(1)	DropInterests	1	0
1	5	1	dev=local(1)	InNacks	0	0
1	5	1	dev=local(1)	OutNacks	0	0
1	5	1	dev=local(1)	DropNacks	0	0
1	5	1	dev=local(1)	InData	0	0
1	5	1	dev=local(1)	OutData	7	6.22168
1	5	1	dev=local(1)	DropData	0	0
1	5	-1	all	SatisfiedInterests	10	0
1	5	-1	all	TimedOutInterests	0	0
1	6	0	dev=net(0)	InInterests	51	1.55176
1	6	0	dev=net(0)	OutInterests	24	0.728516
1	6	0	dev=net(0)	DropInterests	34	1.0293
1	6	0	dev=net(0)	InNacks	0	0
1	6	0	dev=net(0)	OutNacks	0	0
1	6	0	dev=net(0)	DropNacks	0	0
1	6	0	dev=net(0)	InData	0	0
1	6	0	dev=net(0)	OutData	0	0
1	6	0	dev=net(0)	DropData	0	0
1	6	1	dev=local(1)	InInterests	10	0
1	6	1	dev=local(1)	OutInterests	0	0
1	6	1	dev=local(1)	DropInterests	0	0
1	6	1	dev=local(1)	InNacks	0	0
1	6	1	dev=local(1)	OutNacks	0	0
1	6	1	dev=local(1)	DropNacks	0	0
1	6	1	dev=local(1)	InData	0	0
1	6	1	dev=local(1)	OutData	0	0
1	6	1	dev=local(1)	DropData	0	0
1	7	0	dev=net(0)	InInterests	48	1.47656
1	7	0	dev=net(0)	OutInterests	19	0.583984
1	7	0	dev=net(0)	DropInterests	28	0.864258
1	7	0	dev=net(0)	InNacks	0	0
1	7	0	dev=net(0)	OutNacks	0	0
1	7	0	dev=net(0)	DropNacks	0	0
1	7	0	dev=net(0)	InData	0	0
1	7	0	dev=net(0)	OutData	0	0
1	7	0	dev=net(0)	DropData	0	0
1	8	0	dev=net(0)	InInterests	46	1.40527
1	8	0	dev=net(0)	OutInterests	19	0.587891
1	8	0	dev=net(0)	DropInterests	22	0.665039
1	8	0	dev=net(0)	InNacks	0	0
1	8	0	dev=net(0)	OutNacks	0	0
1	8	0	dev=net(0)	DropNacks	0	0
1	8	0	dev=net(0)	InData	28	29.0332
1	8	0	dev=net(0)	OutData	3	3.11133
1	8	0	dev=net(0)	DropData	0	0
1	8	-1	all	SatisfiedInterests	12	0
1	8	-1	all	TimedOutInterests	0	0
1	9	0	dev=net(0)	InInterests	34	1.04395
1	9	0	dev=net(0)	OutInterests	24	0.728516
1	9	0	dev=net(0)	DropInterests	17	0.521484
1	9	0	dev=net(0)	InNacks	0	0
1	9	0	dev=net(0)	OutNacks	0	0
1	9	0	dev=net(0)	DropNacks	0	0
1	9	0	dev=net(0)	InData	11	11.3965
1	9	0	dev=net(0)	OutData	0	0
1	9	0	dev=net(0)	DropData	0	0
1	9	1	dev=local(1)	InInterests	10	0
1	9	1	dev=local(1)	OutInterests	0	0
1	9	1	dev=local(1)	DropInterests	0	0
1	9	1	dev=local(1)	InNacks	0	0
1	9	1	dev=local(1)	OutNacks	0	0
1	9	1	dev=local(1)	DropNacks	0	0
1	9	1	dev=local(1)	InData	0	0
1	9	1	dev=local(1)	OutData	2	1.03418
1	9	1	dev=local(1)	DropData	0	0
1	9	-1	all	SatisfiedInterests	7	0
1	9	-1	all	TimedOutInterests	0	0
1	10	0	dev=net(0)	InInterests	43	1.32227
1	10	0	dev=net(0)	OutInterests	24	0.744141
1	10	0	dev=net(0)	DropInterests	30	0.924805
1	10	0	dev=net(0)	InNacks	0	0
1	10	0	dev=net(0)	OutNacks	0	0
1	10	0	dev=net(0)	DropNacks	0	0
1	10	0	dev=net(0)	InData	26	26.958
1	10	0	dev=net(0)	OutData	4	4.14746
1	10	0	dev=net(0)	DropData	0	0
1	10	1	dev=local(1)	InInterests	20	0
1	10	1	dev=local(1)	OutInterests	0	0
1	10	1	dev=local(1)	DropInterests	1	0
1	10	1	dev=local(1)	InNacks	0	0
1	10	1	dev=local(1)	OutNacks	0	0
1	10	1	dev=local(1)	DropNacks	0	0
1	10	1	dev=local(1)	InData	0	0
1	10	1	dev=local(1)	OutData	8	7.25879
1	10	1	dev=local(1)	DropData	0	0
1	10	-1	all	SatisfiedInterests	14	0
1	10	-1	all	TimedOutInterests	0	0
1	11	0	dev=net(0)	InInterests	39	1.19727
1	11	0	dev=net(0)	OutInterests	15	0.462891
1	11	0	dev=net(0)	DropInterests	18	0.549805
1	11	0	dev=net(0)	InNacks	0	0
1	11	0	dev=net(0)	OutNacks	0	0
1	11	0	dev=net(0)	DropNacks	0	0
1	11	0	dev=net(0)	InData	34	35.2559
1	11	0	dev=net(0)	OutData	5	5.18555
1	11	0	dev=net(0)	DropData	0	0
1	11	-1	all	SatisfiedInterests	13	0
1	11	-1	all	TimedOutInterests	0	0
1	12	0	dev=net(0)	InInterests	36	1.10742
1	12	0	dev=net(0)	OutInterests	21	0.634766
1	12	0	dev=net(0)	DropInterests	21	0.646484
1	12	0	dev=net(0)	InNacks	0	0
1	12	0	dev=net(0)	OutNacks	0	0
1	12	0	dev=net(0)	DropNacks	0	0
1	12	0	dev=net(0)	InData	7	7.25098
