Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.00479311	10	1	0	LastDelay	0.00479311	4793.11	1	3
0.00479311	10	1	0	FullDelay	0.00479311	4793.11	1	3
0.00748337	3	1	0	LastDelay	0.00748337	7483.37	1	4
0.00748337	3	1	0	FullDelay	0.00748337	7483.37	1	4
0.00853078	15	1	0	LastDelay	0.00853078	8530.77	1	10
0.00853078	15	1	0	FullDelay	0.00853078	8530.77	1	10
0.00946309	5	1	0	LastDelay	0.00946309	9463.09	1	12
0.00946309	5	1	0	FullDelay	0.00946309	9463.09	1	12
0.0112584	9	1	0	LastDelay	0.0112584	11258.4	1	7
0.0112584	9	1	0	FullDelay	0.0112584	11258.4	1	7
0.0112587	12	1	0	LastDelay	0.0112587	11258.7	1	7
0.0112587	12	1	0	FullDelay	0.0112587	11258.7	1	7
0.151817	10	1	3	LastDelay	0.00181746	1817.46	1	6
0.151817	10	1	3	FullDelay	0.00181746	1817.46	1	6
0.151818	5	1	3	LastDelay	0.00181778	1817.78	1	6
0.151818	5	1	3	FullDelay	0.00181778	1817.78	1	6
0.353355	10	1	6	LastDelay	0.00335471	3354.71	1	11
0.353355	10	1	6	FullDelay	0.00335471	3354.71	1	11
0.353355	5	1	6	LastDelay	0.00335502	3355.02	1	11
0.353355	5	1	6	FullDelay	0.00335502	3355.02	1	11
0.455617	15	1	8	LastDelay	0.00561722	5617.22	1	11
0.455617	15	1	8	FullDelay	0.00561722	5617.22	1	11
0.501959	10	1	1	LastDelay	0.251959	251959	1	12
0.501959	10	1	1	FullDelay	0.451959	451959	2	12
0.50613	5	1	1	LastDelay	0.25613	256130	1	10
0.50613	5	1	1	FullDelay	0.45613	456130	2	10
0.55	5	1	8	LastDelay	0	0	1	0
0.55	5	1	8	FullDelay	0	0	1	0
0.55	10	1	8	LastDelay	0	0	1	0
0.55	10	1	8	FullDelay	0	0	1	0
0.55144	10	1	2	LastDelay	0.15144	151440	1	4
0.55144	10	1	2	FullDelay	0.45144	451440	2	4
0.55144	5	1	2	LastDelay	0.15144	151440	1	4
0.55144	5	1	2	FullDelay	0.45144	451440	2	4
0.6	3	1	5	LastDelay	0	0	1	0
0.6	3	1	5	FullDelay	0	0	1	0
0.6	9	1	5	LastDelay	0	0	1	0
0.6	9	1	5	FullDelay	0	0	1	0
0.600467	15	1	3	LastDelay	0.000466857	466.857	1	2
0.600467	15	1	3	FullDelay	0.450467	450467	2	2
0.75383	10	1	11	LastDelay	0.00383008	3830.08	1	10
0.75383	10	1	11	FullDelay	0.00383008	3830.08	1	10
0.852129	10	1	5	LastDelay	0.0021294	2129.4	1	6
0.852129	10	1	5	FullDelay	0.552129	552129	3	6
0.852579	5	1	5	LastDelay	0.252579	252579	1	7
0.852579	5	1	5	FullDelay	0.552579	552579	2	7
0.854745	15	1	5	LastDelay	0.154745	154745	1	9
0.854745	15	1	5	FullDelay	0.554745	554745	2	9
1.25	10	1	18	LastDelay	0	0	1	0
1.25	10	1	18	FullDelay	0	0	1	0
1.4	12	1	11	LastDelay	0	0	1	0
1.4	12	1	11	FullDelay	0	0	1	0
1.40317	5	1	22	LastDelay	0.00316518	3165.18	1	9
1.40317	5	1	22	FullDelay	0.00316518	3165.18	1	9
1.5	3	1	11	LastDelay	0	0	1	0
1.5	3	1	11	FullDelay	0	0	1	0
1.5	9	1	11	LastDelay	0	0	1	0
1.5	9	1	11	FullDelay	0	0	1	0
1.50319	15	1	24	LastDelay	0.0031921	3192.1	1	10
1.50319	15	1	24	FullDelay	0.0031921	3192.1	1	10
1.55502	15	1	1	LastDelay	0.00501847	5018.47	1	4
1.55502	15	1	1	FullDelay	1.50502	1.50502e+06	4	4
1.56158	5	1	10	LastDelay	0.0115799	11579.9	1	10
1.56158	5	1	10	FullDelay	0.86158	861580	2	10
1.56266	10	1	10	LastDelay	0.112662	112662	1	9
1.56266	10	1	10	FullDelay	0.862662	862662	2	9
1.56266	15	1	10	LastDelay	0.762662	762662	1	9
1.56266	15	1	10	FullDelay	0.762662	762662	1	9
1.65172	10	1	4	LastDelay	0.351721	351721	1	6
1.65172	10	1	4	FullDelay	1.45172	1.45172e+06	4	6
1.65266	10	1	12	LastDelay	0.152658	152658	1	7
1.65266	10	1	12	FullDelay	0.702658	702658	2	7
1.7035	15	1	6	LastDelay	0.0035039	3503.9	1	7
1.7035	15	1	6	FullDelay	1.3535	1.3535e+06	2	7
1.95	10	1	24	LastDelay	0	0	1	0
1.95	10	1	24	FullDelay	0	0	1	0
1.95095	5	1	18	LastDelay	0.0009493	949.3	1	2
1.95095	5	1	18	FullDelay	0.800949	800949	2	2
2.05273	10	1	20	LastDelay	0.302732	302732	1	12
2.05273	10	1	20	FullDelay	0.302732	302732	1	12
2.05568	5	1	20	LastDelay	0.00567623	5676.23	1	6
2.05568	5	1	20	FullDelay	0.805676	805676	2	6
2.05568	15	1	20	LastDelay	0.755676	755676	1	6
2.05568	15	1	20	FullDelay	0.755676	755676	1	6
2.10063	10	1	13	LastDelay	0.000625899	625.899	1	4
2.10063	10	1	13	FullDelay	1.10063	1.10063e+06	3	4
2.15	5	1	24	LastDelay	0	0	1	0
2.15	5	1	24	FullDelay	0	0	1	0
2.15097	10	1	14	LastDelay	0.000969076	969.076	1	4
2.15097	10	1	14	FullDelay	1.10097	1.10097e+06	3	4
2.30307	10	1	21	LastDelay	0.503075	503075	1	6
2.30307	10	1	21	FullDelay	0.503075	503075	1	6
2.45	10	1	26	LastDelay	0	0	1	0
2.45	10	1	26	FullDelay	0	0	1	0
2.75047	10	1	22	LastDelay	0.000466861	466.861	1	2
2.75047	10	1	22	FullDelay	0.900467	900467	2	2
2.9	10	1	28	LastDelay	0	0	1	0
2.9	10	1	28	FullDelay	0	0	1	0
3	5	1	29	LastDelay	0	0	1	0
3	5	1	29	FullDelay	0	0	1	0
3.00236	10	1	9	LastDelay	0.00235809	2358.09	1	8
3.00236	10	1	9	FullDelay	2.35236	2.35236e+06	5	8
3.15598	10	1	17	LastDelay	0.00597725	5977.26	1	10
3.15598	10	1	17	FullDelay	1.95598	1.95598e+06	4	10
3.15598	5	1	17	LastDelay	0.505977	505977	1	10
3.15598	5	1	17	FullDelay	2.05598	2.05598e+06	3	10
3.20546	15	1	42	LastDelay	0.00546487	5464.87	1	6
3.20546	15	1	42	FullDelay	0.00546487	5464.87	1	6
3.25243	5	1	12	LastDelay	0.00242624	2426.24	1	9
3.25243	5	1	12	FullDelay	2.45243	2.45243e+06	4	9
3.25348	15	1	12	LastDelay	1.35348	1.35348e+06	1	9
3.25348	15	1	12	FullDelay	2.35348	2.35348e+06	2	9
3.3	10	1	29	LastDelay	0	0	1	0
3.3	10	1	29	FullDelay	0	0	1	0
3.40164	5	1	9	LastDelay	0.251638	251638	1	4
3.40164	5	1	9	FullDelay	2.75164	2.75164e+06	4	4
3.45153	15	1	11	LastDelay	0.00153065	1530.65	1	3
3.45153	15	1	11	FullDelay	2.60153	2.60153e+06	3	3
3.45153	5	1	11	LastDelay	0.251531	251531	1	3
3.45153	5	1	11	FullDelay	2.70153	2.70153e+06	4	3
3.55295	5	1	14	LastDelay	0.202953	202953	1	7
3.55295	5	1	14	FullDelay	2.60295	2.60295e+06	4	7
3.7	3	1	25	LastDelay	0	0	1	0
3.7	3	1	25	FullDelay	0	0	1	0
3.7	9	1	25	LastDelay	0	0	1	0
3.7	9	1	25	FullDelay	0	0	1	0
3.7	12	1	25	LastDelay	0	0	1	0
3.7	12	1	25	FullDelay	0	0	1	0
3.8	10	1	34	LastDelay	0	0	1	0
