Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes
1	0	0	dev=net(0)	InInterests	10	0.288086
1	0	0	dev=net(0)	OutInterests	0	0
1	0	0	dev=net(0)	DropInterests	0	0
1	0	0	dev=net(0)	InNacks	0	0
1	0	0	dev=net(0)	OutNacks	0	0
1	0	0	dev=net(0)	DropNacks	0	0
1	0	0	dev=net(0)	InData	12	12.4141
1	0	0	dev=net(0)	OutData	10	10.3467
1	0	0	dev=net(0)	DropData	0	0
1	0	1	dev=local(1)	InInterests	0	0
1	0	1	dev=local(1)	OutInterests	3	0.0869141
1	0	1	dev=local(1)	DropInterests	0	0
1	0	1	dev=local(1)	InNacks	0	0
1	0	1	dev=local(1)	OutNacks	0	0
1	0	1	dev=local(1)	DropNacks	0	0
1	0	1	dev=local(1)	InData	3	0
1	0	1	dev=local(1)	OutData	0	0
1	0	1	dev=local(1)	DropData	0	0
1	0	-1	all	SatisfiedInterests	10	0
1	0	-1	all	TimedOutInterests	0	0
1	1	0	dev=net(0)	InInterests	20	0.580078
1	1	0	dev=net(0)	OutInterests	4	0.116211
1	1	0	dev=net(0)	DropInterests	14	0.40625
1	1	0	dev=net(0)	InNacks	0	0
1	1	0	dev=net(0)	OutNacks	0	0
1	1	0	dev=net(0)	DropNacks	0	0
1	1	0	dev=net(0)	InData	2	2.07031
1	1	0	dev=net(0)	OutData	1	1.03516
1	1	0	dev=net(0)	DropData	0	0
1	1	-1	all	SatisfiedInterests	2	0
1	1	-1	all	TimedOutInterests	0	0
1	2	0	dev=net(0)	InInterests	20	0.581055
1	2	0	dev=net(0)	OutInterests	11	0.321289
1	2	0	dev=net(0)	DropInterests	19	0.551758
1	2	0	dev=net(0)	InNacks	0	0
1	2	0	dev=net(0)	OutNacks	0	0
1	2	0	dev=net(0)	DropNacks	0	0
1	2	0	dev=net(0)	InData	1	1.03418
1	2	0	dev=net(0)	OutData	0	0
1	2	0	dev=net(0)	DropData	0	0
1	2	1	dev=local(1)	InInterests	10	0
1	2	1	dev=local(1)	OutInterests	0	0
1	2	1	dev=local(1)	DropInterests	0	0
1	2	1	dev=local(1)	InNacks	0	0
1	2	1	dev=local(1)	OutNacks	0	0
1	2	1	dev=local(1)	DropNacks	0	0
1	2	1	dev=local(1)	InData	0	0
1	2	1	dev=local(1)	OutData	1	1.03418
1	2	1	dev=local(1)	DropData	0	0
1	2	-1	all	SatisfiedInterests	1	0
1	2	-1	all	TimedOutInterests	0	0
1	3	0	dev=net(0)	InInterests	7	0.201172
1	3	0	dev=net(0)	OutInterests	10	0.291992
1	3	0	dev=net(0)	DropInterests	3	0.0869141
1	3	0	dev=net(0)	InNacks	0	0
1	3	0	dev=net(0)	OutNacks	0	0
1	3	0	dev=net(0)	DropNacks	0	0
1	3	0	dev=net(0)	InData	9	9.30859
1	3	0	dev=net(0)	OutData	1	1.03418
1	3	0	dev=net(0)	DropData	0	0
1	3	1	dev=local(1)	InInterests	10	0
1	3	1	dev=local(1)	OutInterests	0	0
