Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.00227394	12	1	0	LastDelay	0.00227394	2273.94	1	6
0.00227394	12	1	0	FullDelay	0.00227394	2273.94	1	6
0.00334325	9	1	0	LastDelay	0.00334325	3343.25	1	4
0.00334325	9	1	0	FullDelay	0.00334325	3343.25	1	4
0.00334346	3	1	0	LastDelay	0.00334346	3343.46	1	4
0.00334346	3	1	0	FullDelay	0.00334346	3343.46	1	4
0.00517413	6	1	0	LastDelay	0.00517413	5174.14	1	5
0.00517413	6	1	0	FullDelay	0.00517413	5174.14	1	5
0.00947089	2	1	0	LastDelay	0.00947089	9470.89	1	5
0.00947089	2	1	0	FullDelay	0.00947089	9470.89	1	5
0.901277	9	1	7	LastDelay	0.00127679	1276.79	1	8
0.901277	9	1	7	FullDelay	0.00127679	1276.79	1	8
0.902614	3	1	7	LastDelay	0.00261362	2613.62	1	11
0.902614	3	1	7	FullDelay	0.00261362	2613.62	1	11
0.902614	12	1	7	LastDelay	0.00261364	2613.64	1	11
0.902614	12	1	7	FullDelay	0.00261364	2613.64	1	11
1.30477	2	1	10	LastDelay	0.00477131	4771.31	1	8
1.30477	2	1	10	FullDelay	0.00477131	4771.31	1	8
1.7	3	1	10	LastDelay	0	0	1	0
1.7	3	1	10	FullDelay	0	0	1	0
1.7	9	1	10	LastDelay	0	0	1	0
1.7	9	1	10	FullDelay	0	0	1	0
1.7	12	1	10	LastDelay	0	0	1	0
1.7	12	1	10	FullDelay	0	0	1	0
2.00212	9	1	8	LastDelay	0.502118	502118	1	11
2.00212	9	1	8	FullDelay	0.502118	502118	1	11
2.00212	3	1	8	LastDelay	0.502118	502118	1	11
2.00212	3	1	8	FullDelay	0.502118	502118	1	11
2.00321	12	1	8	LastDelay	0.503207	503207	1	9
2.00321	12	1	8	FullDelay	0.503207	503207	1	9
2.00649	6	1	8	LastDelay	1.00649	1.00649e+06	1	10
2.00649	6	1	8	FullDelay	1.00649	1.00649e+06	1	10
2.10084	12	1	4	LastDelay	0.000841988	841.988	1	3
2.10084	12	1	4	FullDelay	1.60084	1.60084e+06	3	3
2.4	3	1	11	LastDelay	0	0	1	0
2.4	3	1	11	FullDelay	0	0	1	0
2.4	9	1	11	LastDelay	0	0	1	0
2.4	9	1	11	FullDelay	0	0	1	0
2.4	12	1	11	LastDelay	0	0	1	0
2.4	12	1	11	FullDelay	0	0	1	0
2.90047	9	1	5	LastDelay	0.00046653	466.53	1	2
2.90047	9	1	5	FullDelay	2.30047	2.30047e+06	4	2
3.5	12	1	17	LastDelay	0	0	1	0
3.5	12	1	17	FullDelay	0	0	1	0
3.6	3	1	17	LastDelay	0	0	1	0
3.6	3	1	17	FullDelay	0	0	1	0
3.6	9	1	17	LastDelay	0	0	1	0
3.6	9	1	17	FullDelay	0	0	1	0
4.10047	9	1	6	LastDelay	0.00046737	467.37	1	2
4.10047	9	1	6	FullDelay	3.30047	3.30047e+06	3	2
4.7	12	1	19	LastDelay	0	0	1	0
4.7	12	1	19	FullDelay	0	0	1	0
4.8	9	1	19	LastDelay	0	0	1	0
4.8	9	1	19	FullDelay	0	0	1	0
4.80487	6	1	39	LastDelay	0.0048661	4866.1	1	7
4.80487	6	1	39	FullDelay	0.0048661	4866.1	1	7
4.9	3	1	19	LastDelay	0	0	1	0
4.9	3	1	19	FullDelay	0	0	1	0
4.90145	9	1	1	LastDelay	0.00145138	1451.38	1	11
4.90145	9	1	1	FullDelay	4.80145	4.80145e+06	7	11
4.90145	12	1	1	LastDelay	0.101452	101452	1	11
4.90145	12	1	1	FullDelay	4.80145	4.80145e+06	7	11
4.90312	3	1	1	LastDelay	1.20312	1.20312e+06	1	10
4.90312	3	1	1	FullDelay	4.80312	4.80312e+06	6	10
5.20047	9	1	4	LastDelay	0.000467189	467.189	1	2
5.20047	9	1	4	FullDelay	4.70047	4.70047e+06	6	2
5.20047	3	1	4	LastDelay	0.000467377	467.377	1	2
5.20047	3	1	4	FullDelay	4.70047	4.70047e+06	6	2
5.70121	6	1	10	LastDelay	0.00120678	1206.78	1	3
5.70121	6	1	10	FullDelay	4.40121	4.40121e+06	2	3
6.1	9	1	22	LastDelay	0	0	1	0
6.1	9	1	22	FullDelay	0	0	1	0
6.1	12	1	22	LastDelay	0	0	1	0
6.1	12	1	22	FullDelay	0	0	1	0
6.10754	9	1	14	LastDelay	0.507539	507539	1	7
6.10754	9	1	14	FullDelay	2.80754	2.80754e+06	3	7
6.10754	12	1	14	LastDelay	0.50754	507540	1	7
6.10754	12	1	14	FullDelay	2.90754	2.90754e+06	3	7
6.10805	3	1	14	LastDelay	0.30805	308050	1	7
6.10805	3	1	14	FullDelay	2.80805	2.80805e+06	3	7
6.3	3	1	22	LastDelay	0	0	1	0
6.3	3	1	22	FullDelay	0	0	1	0
6.30142	9	1	3	LastDelay	0.00141531	1415.32	1	6
6.30142	9	1	3	FullDelay	6.00142	6.00142e+06	7	6
6.30142	3	1	3	LastDelay	1.20142	1.20142e+06	1	6
6.30142	3	1	3	FullDelay	6.00142	6.00142e+06	6	6
6.30142	12	1	3	LastDelay	0.00141554	1415.54	1	6
6.30142	12	1	3	FullDelay	6.00142	6.00142e+06	7	6
6.50384	9	1	18	LastDelay	1.80384	1.80384e+06	1	6
6.50384	9	1	18	FullDelay	1.80384	1.80384e+06	1	6
6.50384	12	1	18	LastDelay	1.90384	1.90384e+06	1	6
6.50384	12	1	18	FullDelay	1.90384	1.90384e+06	1	6
6.50735	2	1	54	LastDelay	0.00735398	7353.98	1	9
6.50735	2	1	54	FullDelay	0.00735398	7353.98	1	9
6.60115	9	1	13	LastDelay	0.00115235	1152.35	1	4
6.60115	9	1	13	FullDelay	3.40115	3.40115e+06	4	4
6.60115	3	1	13	LastDelay	0.901153	901153	1	4
6.60115	3	1	13	FullDelay	3.40115	3.40115e+06	3	4
6.60115	12	1	13	LastDelay	1.10115	1.10115e+06	1	4
6.60115	12	1	13	FullDelay	3.50115	3.50115e+06	3	4
6.70218	9	1	20	LastDelay	0.802182	802182	1	7
6.70218	9	1	20	FullDelay	0.802182	802182	1	7
6.70218	3	1	20	LastDelay	0.602182	602182	1	7
6.70218	3	1	20	FullDelay	0.602182	602182	1	7
6.7028	12	1	20	LastDelay	0.802798	802798	1	7
6.7028	12	1	20	FullDelay	0.802798	802798	1	7
7.1	9	1	25	LastDelay	0	0	1	0
7.1	9	1	25	FullDelay	0	0	1	0
7.2	12	1	25	LastDelay	0	0	1	0
7.2	12	1	25	FullDelay	0	0	1	0
7.2023	6	1	7	LastDelay	1.7023	1.7023e+06	1	5
7.2023	6	1	7	FullDelay	6.3023	6.3023e+06	3	5
7.20601	2	1	7	LastDelay	0.00600893	6008.93	1	6
7.20601	2	1	7	FullDelay	6.30601	6.30601e+06	3	6
7.30473	6	1	26	LastDelay	0.00473103	4731.03	1	11
7.30473	6	1	26	FullDelay	3.80473	3.80473e+06	2	11
7.4	3	1	25	LastDelay	0	0	1	0
